time,pos_x,pos_y,vel_x,vel_y
8813.000000,1535983.827002,-6185877.928247,7728.515486,1448.483114
8814.000000,1543709.978024,-6184419.922709,7726.151021,1458.005539
8815.000000,1551433.753192,-6182952.399014,7723.775168,1467.523694
8816.000000,1559155.141128,-6181475.361445,7721.387936,1477.037570
8817.000000,1566874.130459,-6179988.814293,7718.989331,1486.547152
8818.000000,1574590.709823,-6178492.761865,7716.579364,1496.052428
8819.000000,1582304.867864,-6176987.208478,7714.158042,1505.553387
8820.000000,1590016.593238,-6175472.158463,7711.725373,1515.050015
8821.000000,1597725.874605,-6173947.616163,7709.281367,1524.542300
8822.000000,1605432.700637,-6172413.585932,7706.826032,1534.030231
8823.000000,1613137.060013,-6170870.072139,7704.359376,1543.513793
8824.000000,1620838.941420,-6169317.079163,7701.881407,1552.992976
8825.000000,1628538.333555,-6167754.611396,7699.392135,1562.467767
8826.000000,1636235.225123,-6166182.673242,7696.891568,1571.938154
8827.000000,1643929.604836,-6164601.269119,7694.379713,1581.404123
8828.000000,1651621.461416,-6163010.403455,7691.856580,1590.865664
8829.000000,1659310.783594,-6161410.080692,7689.322178,1600.322763
8830.000000,1666997.560109,-6159800.305282,7686.776514,1609.775409
8831.000000,1674681.779707,-6158181.081692,7684.219598,1619.223590
8832.000000,1682363.431145,-6156552.414400,7681.651438,1628.667292
8833.000000,1690042.503187,-6154914.307895,7679.072042,1638.106505
8834.000000,1697718.984606,-6153266.766680,7676.481419,1647.541215
8835.000000,1705392.864184,-6151609.795269,7673.879578,1656.971411
8836.000000,1713064.130711,-6149943.398189,7671.266527,1666.397080
8837.000000,1720732.772986,-6148267.579977,7668.642275,1675.818211
8838.000000,1728398.779816,-6146582.345186,7666.006831,1685.234792
8839.000000,1736062.140018,-6144887.698377,7663.360202,1694.646809
8840.000000,1743722.842417,-6143183.644125,7660.702398,1704.054252
8841.000000,1751380.875845,-6141470.187018,7658.033428,1713.457107
8842.000000,1759036.229145,-6139747.331653,7655.353300,1722.855364
8843.000000,1766688.891167,-6138015.082643,7652.662022,1732.249010
8844.000000,1774338.850772,-6136273.444609,7649.959604,1741.638034
8845.000000,1781986.096826,-6134522.422187,7647.246054,1751.022422
8846.000000,1789630.618207,-6132762.020023,7644.521381,1760.402164
8847.000000,1797272.403801,-6130992.242777,7641.785593,1769.777246
8848.000000,1804911.442501,-6129213.095118,7639.038700,1779.147659
8849.000000,1812547.723210,-6127424.581730,7636.280709,1788.513388
8850.000000,1820181.234840,-6125626.707307,7633.511630,1797.874423
8851.000000,1827811.966311,-6123819.476554,7630.731471,1807.230752
8852.000000,1835439.906553,-6122002.894191,7627.940242,1816.582363
8853.000000,1843065.044503,-6120176.964948,7625.137950,1825.929244
8854.000000,1850687.369109,-6118341.693565,7622.324605,1835.271383
8855.000000,1858306.869324,-6116497.084798,7619.500215,1844.608768
8856.000000,1865923.534114,-6114643.143410,7616.664790,1853.941388
8857.000000,1873537.352452,-6112779.874180,7613.818338,1863.269230
8858.000000,1881148.313318,-6110907.281896,7610.960867,1872.592284
8859.000000,1888756.405705,-6109025.371359,7608.092387,1881.910537
8860.000000,1896361.618611,-6107134.147381,7605.212906,1891.223978
8861.000000,1903963.941045,-6105233.614786,7602.322433,1900.532594
8862.000000,1911563.362023,-6103323.778411,7599.420978,1909.836375
8863.000000,1919159.870571,-6101404.643102,7596.508549,1919.135309
8864.000000,1926753.455725,-6099476.213719,7593.585154,1928.429383
8865.000000,1934344.106527,-6097538.495132,7590.650803,1937.718587
8866.000000,1941931.812031,-6095591.492224,7587.705504,1947.002908
8867.000000,1949516.561298,-6093635.209888,7584.749266,1956.282336
8868.000000,1957098.343397,-6091669.653031,7581.782099,1965.556858
8869.000000,1964677.147408,-6089694.826568,7578.804011,1974.826462
8870.000000,1972252.962420,-6087710.735430,7575.815011,1984.091139
8871.000000,1979825.777528,-6085717.384555,7572.815108,1993.350875
8872.000000,1987395.581839,-6083714.778895,7569.804311,2002.605659
8873.000000,1994962.364467,-6081702.923414,7566.782629,2011.855481
8874.000000,2002526.114537,-6079681.823087,7563.750070,2021.100328
8875.000000,2010086.821181,-6077651.482899,7560.706644,2030.340188
8876.000000,2017644.473540,-6075611.907847,7557.652359,2039.575051
8877.000000,2025199.060765,-6073563.102942,7554.587225,2048.804906
8878.000000,2032750.572016,-6071505.073202,7551.511251,2058.029739
8879.000000,2040298.996461,-6069437.823661,7548.424445,2067.249541
8880.000000,2047844.323278,-6067361.359361,7545.326817,2076.464300
8881.000000,2055386.541652,-6065275.685356,7542.218375,2085.674005
8882.000000,2062925.640780,-6063180.806713,7539.099128,2094.878643
8883.000000,2070461.609866,-6061076.728508,7535.969086,2104.078205
8884.000000,2077994.438124,-6058963.455831,7532.828257,2113.272677
8885.000000,2085524.114775,-6056840.993781,7529.676651,2122.462051
8886.000000,2093050.629051,-6054709.347468,7526.514277,2131.646313
8887.000000,2100573.970194,-6052568.522016,7523.341143,2140.825452
8888.000000,2108094.127452,-6050418.522557,7520.157258,2149.999459
8889.000000,2115611.090085,-6048259.354237,7516.962632,2159.168320
8890.000000,2123124.847359,-6046091.022212,7513.757274,2168.332025
8891.000000,2130635.388552,-6043913.531648,7510.541193,2177.490564
8892.000000,2138142.702950,-6041726.887725,7507.314398,2186.643923
8893.000000,2145646.779847,-6039531.095631,7504.076897,2195.792094
8894.000000,2153147.608548,-6037326.160568,7500.828701,2204.935063
8895.000000,2160645.178365,-6035112.087747,7497.569817,2214.072821
8896.000000,2168139.478622,-6032888.882390,7494.300256,2223.205356
8897.000000,2175630.498648,-6030656.549733,7491.020027,2232.332657
8898.000000,2183118.227786,-6028415.095020,7487.729137,2241.454713
8899.000000,2190602.655383,-6026164.523507,7484.427598,2250.571513
8900.000000,2198083.770800,-6023904.840461,7481.115417,2259.683046
8901.000000,2205561.563403,-6021636.051161,7477.792604,2268.789300
8902.000000,2213036.022571,-6019358.160896,7474.459167,2277.890265
8903.000000,2220507.137688,-6017071.174966,7471.115117,2286.985930
8904.000000,2227974.898151,-6014775.098681,7467.760463,2296.076284
8905.000000,2235439.293364,-6012469.937365,7464.395213,2305.161316
8906.000000,2242900.312740,-6010155.696351,7461.019376,2314.241015
8907.000000,2250357.945703,-6007832.380982,7457.632963,2323.315369
8908.000000,2257812.181684,-6005499.996613,7454.235981,2332.384369
8909.000000,2265263.010124,-6003158.548610,7450.828441,2341.448003
8910.000000,2272710.420475,-6000808.042349,7447.410351,2350.506260
8911.000000,2280154.402196,-5998448.483219,7443.981721,2359.559130
8912.000000,2287594.944756,-5996079.876618,7440.542560,2368.606601
8913.000000,2295032.037632,-5993702.227954,7437.092876,2377.648664
8914.000000,2302465.670313,-5991315.542648,7433.632681,2386.685306
8915.000000,2309895.832294,-5988919.826131,7430.161981,2395.716517
8916.000000,2317322.513082,-5986515.083844,7426.680788,2404.742287
8917.000000,2324745.702192,-5984101.321240,7423.189110,2413.762604
8918.000000,2332165.389148,-5981678.543781,7419.686956,2422.777459
